,name,hometown,high school,school,name text,hometown text,high school text,school text,sport,college
0,Jack Dunn,"Alpharetta, Ga. / Blessed Trinity","Alpharetta, Ga. / Blessed Trinity","Alpharetta, Ga. / Blessed Trinity",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
1,Nick Paciorek,"Sherman Oaks, Calif. / Oaks Christian","Sherman Oaks, Calif. / Oaks Christian","Sherman Oaks, Calif. / Oaks Christian",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
2,Alex Erro,"Miami, Fla. / Gulliver Prep","Miami, Fla. / Gulliver Prep","Miami, Fla. / Gulliver Prep",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
3,Tommy D'Alise,"Lubbock, Texas / Lubbock Cooper","Lubbock, Texas / Lubbock Cooper","Lubbock, Texas / Lubbock Cooper",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
4,Shawn Goosenberg,"Encino, Calif. / Calabasas","Encino, Calif. / Calabasas","Encino, Calif. / Calabasas",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
5,David Dunn,"Alpharetta, Ga. / Blessed Trinity","Alpharetta, Ga. / Blessed Trinity","Alpharetta, Ga. / Blessed Trinity",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
6,Quinn Lavelle,"Cleveland, Ohio / St. Edward","Cleveland, Ohio / St. Edward","Cleveland, Ohio / St. Edward",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
7,"Kyle Burnett, Jr.","Dallas, Texas / Highland Park","Dallas, Texas / Highland Park","Dallas, Texas / Highland Park",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
8,Ben Dickey,"Elk Grove, Ill. / St. Viator","Elk Grove, Ill. / St. Viator","Elk Grove, Ill. / St. Viator",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
9,Jack Pagliarini,"Springboro, Ohio / Springboro","Springboro, Ohio / Springboro","Springboro, Ohio / Springboro",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
10,Jack Kelly,"St. Michael, Minn. / St. Michael-Albertville","St. Michael, Minn. / St. Michael-Albertville","St. Michael, Minn. / St. Michael-Albertville",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
11,Parker Hanks,"Ozark, Mo. / Ozark","Ozark, Mo. / Ozark","Ozark, Mo. / Ozark",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
12,Mike Doherty,"Sandwich, Mass. / Middlesex","Sandwich, Mass. / Middlesex","Sandwich, Mass. / Middlesex",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
13,Jack Anderson,"Pittsburgh, Pa. / Mars Area","Pittsburgh, Pa. / Mars Area","Pittsburgh, Pa. / Mars Area",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
14,Charlie Maxwell,"Evanston, Ill. / Evanston Township","Evanston, Ill. / Evanston Township","Evanston, Ill. / Evanston Township",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
15,Danny Katz,"Winnetka, Ill. / New Trier","Winnetka, Ill. / New Trier","Winnetka, Ill. / New Trier",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
16,Ryan Bader,"Mukwonago, Wis. / Mukwonago","Mukwonago, Wis. / Mukwonago","Mukwonago, Wis. / Mukwonago",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
17,Anthony Calarco,"Wilmette, Ill. / New Trier","Wilmette, Ill. / New Trier","Wilmette, Ill. / New Trier",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
18,Josh Levy,"Atlanta, Ga. / Woodward Academy","Atlanta, Ga. / Woodward Academy","Atlanta, Ga. / Woodward Academy",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
19,Michael Trautwein,"Johns Creek, Ga. / Northview","Johns Creek, Ga. / Northview","Johns Creek, Ga. / Northview",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
20,Willie Bourbon,"Riverwoods, Ill. / Stevenson","Riverwoods, Ill. / Stevenson","Riverwoods, Ill. / Stevenson",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
21,Hank Christie,"Oak Park, Ill. / Oak Park-River Forest","Oak Park, Ill. / Oak Park-River Forest","Oak Park, Ill. / Oak Park-River Forest",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
22,Nick Cauley,"Alton, Ill. / Alton","Alton, Ill. / Alton","Alton, Ill. / Alton",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
23,Leo Kaplan,"Santa Monica, Calif. / Harvard Westlake","Santa Monica, Calif. / Harvard Westlake","Santa Monica, Calif. / Harvard Westlake",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
24,Charlie Bourbon,"Riverwoods, Ill. / Stevenson","Riverwoods, Ill. / Stevenson","Riverwoods, Ill. / Stevenson",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
25,Anthony Alepra,"Cedar Rapids, Iowa / Kennedy","Cedar Rapids, Iowa / Kennedy","Cedar Rapids, Iowa / Kennedy",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
26,Casey O'Laughlin,"Glen Ellyn, Ill. / Fenwick","Glen Ellyn, Ill. / Fenwick","Glen Ellyn, Ill. / Fenwick",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
27,Sam Lawrence,"Winfield, Ill. / Wheaton North","Winfield, Ill. / Wheaton North","Winfield, Ill. / Wheaton North",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
28,Matt Gannon,"Skillman, N.J. / Montgomery","Skillman, N.J. / Montgomery","Skillman, N.J. / Montgomery",Name,Hometown / High School,Hometown / High School,Hometown / High School,baseball,northwestern
0,Chad Hanaoka,"Honolulu, Hawaii / 'Iolani School","Honolulu, Hawaii / 'Iolani School","Honolulu, Hawaii / 'Iolani School",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
1,Flynn Nagel,"Lemont, Ill. / Lemont","Lemont, Ill. / Lemont","Lemont, Ill. / Lemont",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
2,Trae Williams,"The Plains, Ohio / Athens","The Plains, Ohio / Athens","The Plains, Ohio / Athens",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
3,Solomon Vault,"Gaithersburg, Md. / Gaithersburg","Gaithersburg, Md. / Gaithersburg","Gaithersburg, Md. / Gaithersburg",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
4,Charlie Fessler,"Erie, Pa. / Cathedral Prep","Erie, Pa. / Cathedral Prep","Erie, Pa. / Cathedral Prep",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
5,Jelani Roberts,"Owings Mills, Md. / The Gilman School","Owings Mills, Md. / The Gilman School","Owings Mills, Md. / The Gilman School",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
6,Travis Whillock,"Katy, Texas / Katy","Katy, Texas / Katy","Katy, Texas / Katy",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
7,Jason Whittaker,"Rockford, Mich. / Rockford","Rockford, Mich. / Rockford","Rockford, Mich. / Rockford",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
8,Kyric McGowan,"Dalton, Ga. / Dalton","Dalton, Ga. / Dalton","Dalton, Ga. / Dalton",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
9,Roderick Campbell,"St. Louis, Mo. / Chaminade College Prep","St. Louis, Mo. / Chaminade College Prep","St. Louis, Mo. / Chaminade College Prep",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
10,TJ Green,"Leawood, Kan. / Rockhurst","Leawood, Kan. / Rockhurst","Leawood, Kan. / Rockhurst",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
11,Alonzo Mayo,"Baltimore, Md. / The Gilman School","Baltimore, Md. / The Gilman School","Baltimore, Md. / The Gilman School",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
12,A.J. Hampton,"Warren, Ark. / Paul R Wharton (Tampa, Fla.)","Warren, Ark. / Paul R Wharton (Tampa, Fla.)","Warren, Ark. / Paul R Wharton (Tampa, Fla.)",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
13,Aidan Smith,"Fort Wayne, Ind. / Carroll","Fort Wayne, Ind. / Carroll","Fort Wayne, Ind. / Carroll",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
14,JJ Jefferson,"Houston, Texas / St. Pius X","Houston, Texas / St. Pius X","Houston, Texas / St. Pius X",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
15,Andrew Marty,"Cincinnati, Ohio / Wyoming","Cincinnati, Ohio / Wyoming","Cincinnati, Ohio / Wyoming",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
16,JR Pace,"College Park, Ga. / Woodward Academy","College Park, Ga. / Woodward Academy","College Park, Ga. / Woodward Academy",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
17,Charlie Kuhbander,"Springboro, Ohio / Springboro","Springboro, Ohio / Springboro","Springboro, Ohio / Springboro",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
18,Jace James,"Carol Stream, Ill. / Glenbard North","Carol Stream, Ill. / Glenbard North","Carol Stream, Ill. / Glenbard North",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
