,name,hometown,high school?,sport,college
83,Billy Gibson,"Hialeah, Fla.",Miami Southridge,football,oregon
84,Jaylon Redd,"Rancho Cucamonga, Calif.",Rancho Cucamonga,football,oregon
85,Sean Killpatrick,"Pearland, Texas",St. Pius X,football,oregon
86,La'Mar Winston Jr.,"Portland, Ore.",Central Catholic,football,oregon
87,Jordan Adeyemi-John,"Placentia, Calif.",Valencia HS,football,oregon
88,Cyrus Habibi-Likio,"Mountain View, Calif.",St. Francis,football,oregon
89,Jordon Scott,"Largo, Fla.",Pinellas Park,football,oregon
90,Troy Dye,"Norco, Calif.",Norco,football,oregon
91,Charles Sudduth,"Fairbanks, Alaska",West Valley,football,oregon
92,Noah Holmes,"Huntington Beach, Calif.",Marina HS,football,oregon
93,Dexter Myers,"Pasadena, Calif.",Maranatha,football,oregon
94,Alec Hallman,"Lithia, Fla.",Newsome,football,oregon
95,Kaulana Apelu,"Aiea, Hawaii",Kamehameha,football,oregon
96,Noah Dahl,"Silverton, Ore.",Silverton HS,football,oregon
97,Zach Emerson,"Bend, Ore.",Mountain View,football,oregon
98,Blake Maimone,"Thousand Oaks, Calif.",Oaks Christian,football,oregon
99,Isaac Slade-Matautia,"Honolulu, Hawaii",St. Louis,football,oregon
100,D.J.  Johnson,"Sacramento, Calif.",Luther Burbank HS,football,oregon
101,Matt Mariota,"Honolulu, Hawaii",Saint Louis,football,oregon
102,Gus Cumberlander,"Ellenwood, Ga.",Cedar Grove,football,oregon
103,Nate Heaukulani,"Portland, Ore.",Jesuit HS,football,oregon
104,Hunter Kampmoyer,"Bishop, Calif.",Bishop Union,football,oregon
105,Popo Aumavae,"Stockton, Calf.",St. Mary's,football,oregon
106,Gary Baker,"Upland, Calif.",Upland,football,oregon
107,Cody Shear,"Eugene, Ore.",Sheldon,football,oregon
108,Matt Christman,"Honolulu, Hawaii",Punahou HS,football,oregon
109,Calvin Throckmorton,"Bellevue, Wash.",Newport,football,oregon
110,Jake Hanson,"Eureka, Calif.",Eureka,football,oregon
111,Bryson Young,"Clovis, Calif.",Buchanan,football,oregon
112,Ryan Walk,"Eugene, Ore.",Sheldon,football,oregon
113,Logan Bathke,"Orange, Calif.",Lutheran,football,oregon
114,Charlie Landgraf,"Portland, Ore.",Hotchkiss School (Conn.),football,oregon
115,Brady Aiello,"Lafayette, Calif.",Acalanes,football,oregon
116,Devin Melendez,"La Habra, Calif.",La Habra,football,oregon
117,Shane Lemieux,"Yakima, Wash.",West Valley,football,oregon
118,Jacob Capra,"Auburn, Calif.",Placer,football,oregon
119,Sam Poutasi,"Las Vegas, Nev.",Desert Pines,football,oregon
120,George Moore,"Antioch, Calif.",Deer Valley,football,oregon
