,name,hometown,high school?,sport,college
78,K.J. Sails,"Tampa, Fla.",East Bay,football,north_carolina
79,Jace Ruder,"Norton, Kansas",Norton Community,football,north_carolina
80,Kyle Wright,"Blythewood, S.C.",Ben Lippen,football,north_carolina
81,Nathan Elliott,"Celina, Texas",Celina,football,north_carolina
82,Myles Wolfolk,"Upper Marlboro, Md.",Henry A. Wise,football,north_carolina
83,Tomon Fox,"Lawrenceville, Ga.",Collins Hill,football,north_carolina
84,Chazz Surratt,"Denver, N.C.",East Lincoln,football,north_carolina
85,Caleb Rozar,"Clarksville, Tenn.",Dickson County,football,north_carolina
86,Jake Lawler,"Charlotte, N.C.",South Mecklenburg,football,north_carolina
87,Jack Davidson,"Charlotte, N.C.",Myers Park,football,north_carolina
88,D.J. Ford,"Ashland, Ala.",Central,football,north_carolina
89,Manny Miles,"Baton Rouge, La.",University Laboratory School,football,north_carolina
90,Anthony Ratliff-Williams,"Matthews, N.C.",Butler,football,north_carolina
91,Corey Bell Jr.,"Charlotte, N.C.",Hough,football,north_carolina
92,J.T. Cauthen,"Waxhaw, N.C.",Cuthbertson,football,north_carolina
93,Dazz Newsome,"Hampton, Va.",Hampton,football,north_carolina
94,Kayne Roberts,"Greenback, Tenn.",Greenback School,football,north_carolina
95,Johnathon Sutton,"Swansea, S.C.",Swansea,football,north_carolina
96,Dyami Brown,"Charlotte, N.C.",West Mecklenburg,football,north_carolina
97,Graham Eklund,"Jackson, Miss.",Jackson Prep,football,north_carolina
98,Mason Laurence,"San Antonio, Texas",San Antonio Christian,football,north_carolina
99,Malik Robinson,"Snellville, Ga.",South Gwinnett,football,north_carolina
100,Javonte Williams,"Wallace, N.C.",Wallace-Rose Hill,football,north_carolina
101,C.J. Cotman,"Clearwater, Fla.",Central Catholic,football,north_carolina
102,Jack Dinges,"Atlanta, Ga.",Marist,football,north_carolina
103,Chavis Little,"High Point, N.C.",High Point Central,football,north_carolina
104,Austin Chrismon,"China Grove, N.C.",South Rowan,football,north_carolina
105,J.K. Britt,"Newnan, Ga.",Newnan,football,north_carolina
106,Devin Cregan,"Kinston, N.C.",Arendell Parrott Academy,football,north_carolina
107,Matthew Flint,"Gurley, Ala.",Madison County,football,north_carolina
108,Antwuan Branch,"Clarksville, Tenn.",Kenwood,football,north_carolina
109,Tre Shaw,"Ellenwood, Ga.",Cedar Grove,football,north_carolina
110,Jacob Schmidt,"Hickory, N.C.",Foard,football,north_carolina
111,Allen Cater,"Hiram, Ga.",Mt. Paran Christian School,football,north_carolina
112,M.J. Frazier,"Greensboro, N.C.",Middle College at NC A&T,football,north_carolina
113,Xach Gill,"Wake Forest, N.C.",Wake Forest,football,north_carolina
114,Cole Holcomb,"New Smyrna Beach, Fla.",New Smyrna Beach,football,north_carolina
115,Zach Goins,"Matthews, N.C.",Weddington,football,north_carolina
116,Thomas Brown,"Statesville, N.C.",Statesville,football,north_carolina
117,Luke Hoggard,"Edenton, N.C.",Holmes,football,north_carolina
118,Kyle Murphy,"Charlotte, N.C.",Ardrey Kell,football,north_carolina
119,Tyrone Hopper,"Roswell, Ga.",Roswell,football,north_carolina
120,Hunter Sheridan,"Charlotte, N.C.",Charlotte Latin,football,north_carolina
121,Jeremiah Gemmel,"Sharpsburg, Ga.",East Coweta,football,north_carolina
122,Sam Blobe,"Carrboro, N.C.",Carrboro,football,north_carolina
123,Thomas Jackson,"Charlotte, N.C.",Charlotte Country Day,football,north_carolina
124,Ben Stobaugh,"Fort Myers, Fla.",Fort Myers,football,north_carolina
125,Jeremiah Clarke,"Alexandra, Va.",T.C. Williams,football,north_carolina
126,William Sweet,"Jacksonville, Fla.",First Coast,football,north_carolina
127,Malik Carney,"Alexandria, Va.",T.C. Williams,football,north_carolina
128,Jay-Jay McCargo,"Alexandria, Va.",Bishop O'Connell,football,north_carolina
129,Jason Strowbridge,"Deerfield Beach, Fla.",Deerfield Beach,football,north_carolina
130,Billy Ross,"Huntington, W.Va.",Huntington,football,north_carolina
131,Austin Dowler,"Wake Forest, N.C.",Heritage,football,north_carolina
132,Tyler Pritchett,"Auburn, Ala.",Auburn,football,north_carolina
133,Nick Polino,"Buford, Ga.",Buford,football,north_carolina
134,Trevor Collins,"Ramseur, N.C.",Eastern Randolph,football,north_carolina
135,Tommy Bancroft,"La Jolla, Calif.",Francis Parker School,football,north_carolina
136,Tobechi Nwokeji,"Braintree, Mass.",Thayer Academy,football,north_carolina
137,Charlie Heck,"Kansas City, Mo.",Rockhurst,football,north_carolina
138,Brian Anderson,"Montgomery, Ala.",Montgomery Catholic,football,north_carolina
139,Quiron Johnson,"Reidsville, N.C.",Reidsville,football,north_carolina
140,Jonathan Trull,"Charlotte, N.C.",Charlotte Christian,football,north_carolina
141,Mason Veal,"Charlotte, N.C.",Ardrey Kell,football,north_carolina
142,Marcus McKethan,"Barnwell, S.C.",Barnwell,football,north_carolina
143,Jordan Tucker,"Roswell, Ga.",Roswell,football,north_carolina
144,Jonah Melton,"Mebane, N.C.",Eastern Alamance,football,north_carolina
145,Layton Barber,"Southern Pines, N.C.",Pinecrest,football,north_carolina
146,Luke Elder,"LaGrange, Ga.",LaGrange,football,north_carolina
147,Jake Bargas,"Boca Raton, Fla.",St. Andrews,football,north_carolina
148,Brandon Fritts,"Mentor, Ohio",Mentor,football,north_carolina
149,Garrett Walston,"Wilmington, N.C.",New Hanover,football,north_carolina
150,Roscoe Johnson,"Jonesville, S.C.",Union County,football,north_carolina
151,Carl Tucker,"Cornelius, N.C.",Hough,football,north_carolina
152,Noah Turner,"Mundelein, Ill.",Carmel Catholic,football,north_carolina
153,Beau Corrales,"Georgetown, Texas",Georgetown,football,north_carolina
154,Jared Worley,"Pittsboro, N.C.",Northwood,football,north_carolina
155,Nolan DeFranco,"Winter Garden, Fla.",West Orange,football,north_carolina
156,Hunter Lent,"Elon, N.C.",Western Alamance,football,north_carolina
157,Aaron Crawford,"Ashburn, Va.",Stone Bridge,football,north_carolina
158,Tolson Jeffrey,"Richlands, N.C.",Richlands,football,north_carolina
159,Cooper Graham,"Asheville, N.C.",T.C. Roberson/IMG Academy,football,north_carolina
160,Jalen Dalton,"Clemmons, N.C.",West Forsyth,football,north_carolina
161,Noah Ruggles,"Odessa, Fla.",Steinbrenner,football,north_carolina
162,Freeman Jones,"Bunn, N.C.",Bunn,football,north_carolina
163,James Pyle,"Charlotte, N.C.",Ardrey Kell,mens soccer,north_carolina
164,Mauricio Pineda,"Bolingbrook, Ill.",Plainfield East,mens soccer,north_carolina
165,Alex Comsia,"North Vancouver, BC",Burnaby Central,mens soccer,north_carolina
166,John Nelson,"Medina, Ohio",Medina,mens soccer,north_carolina
167,Cam Lindley,"Carmel, Ind.",Guerin Catholic,mens soccer,north_carolina
168,Lucas del Rosario,"Durham, N.C.",Jordan,mens soccer,north_carolina
169,Jack Skahan,"Memphis, Tenn.",Memphis University School,mens soccer,north_carolina
170,Drew Murphy,"Palos Verdes, Calif.",Palos Verdes/UCSB,mens soccer,north_carolina
171,Zach Wright,"Smithville, Texas",Blue Valley Northwest [Kan.],mens soccer,north_carolina
172,David October,"Cambridge, England",Impington Villege College,mens soccer,north_carolina
173,Drew Romig,"Midlothian, Va.",St. Christopher's School,mens soccer,north_carolina
174,Evan Krause,"Cary, N.C.",Green Hope,mens soccer,north_carolina
