,name,hometown,sport,school
15,hurt margaret,"Alpharetta, Ga.",womens equestrian,auburn
16,iannotti hayley,"Wellington, Fla.",womens equestrian,auburn
17,jung kelsey,"Farmington, Utah",womens equestrian,auburn
18,kaufmann kara,"Belvidere, N.J.",womens equestrian,auburn
19,knapic kennedy,"Smithtown, N.Y.",womens equestrian,auburn
20,koscinski ericka,"Center Moriches, N.Y.",womens equestrian,auburn
21,kozma becky,"Streamwood, Ill.",womens equestrian,auburn
22,ladove alex,"San Diego, Calif.",womens equestrian,auburn
23,mcfarlin blair,"Franklin, Tenn.",womens equestrian,auburn
24,michaels mackenzie,"Orlando, Fla.",womens equestrian,auburn
25,ostner savannah,"Memphis, Tenn.",womens equestrian,auburn
26,paul emma,"Kimberly, Wisc.",womens equestrian,auburn
27,pembroke haley,"Bellevue, Wash.",womens equestrian,auburn
28,rauh megan,"Carmel, Ind.",womens equestrian,auburn
29,rivard alexa,"Suwanee, Ga.",womens equestrian,auburn
30,schmitz casey,"Ashburn, Va.",womens equestrian,auburn
31,searles taylor,"Scottsdale, Ariz.",womens equestrian,auburn
32,shilen jacqueline,"Greenwich, Conn.",womens equestrian,auburn
33,smith anna claire,"Atlanta, Ga.",womens equestrian,auburn
34,st. jacques taylor,"Glen Allen, Va.",womens equestrian,auburn
35,ulrich helen,"Mooresville, N.C.",womens equestrian,auburn
36,wagner abby,"Longmeadow, Mass.",womens equestrian,auburn
37,wagner lillian,"Longmeadow, Mass.",womens equestrian,auburn
