,name,hometown,high school?,sport,college
83,"Cedrick Dort, Jr.","Palm Beach Gardens, Fla.",Dwyer,football,kentucky
84,Austin Dotson,"Belfry, Ky.",Belfry,football,kentucky
85,Tymere Dubose,"Youngstown, Ohio",Youngstown Christian,football,kentucky
86,Max Duffy,"Perth, Australia",Curtin/Kent Street,football,kentucky
87,Darren Edmond,"Norman, Okla.",Paul Laurence Dunbar (Ky.),football,kentucky
88,Mike Edwards,"Cincinnati, Ohio",Winton Woods,football,kentucky
89,Isaiah Epps,"Jenks, Okla.",Jenks,football,kentucky
90,Luke Fortner,"Sylvania, Ohio",Sylvania Northview,football,kentucky
91,Brandon Frazier,"New Orleans, La.",John Ehret,football,kentucky
92,Stanley Garner,"Parkway, Fla.",Dillard,football,kentucky
93,Colin Goodfellow,"Cleveland, Ohio",St. Ignatius,football,kentucky
94,Jordan Griffin,"Riverdale, Ga.",Jonesboro,football,kentucky
95,Collin Hartmann,"Somerset, Ky.",Somerset,football,kentucky
96,Davoan Hawkins,"Hollywood, Fla.",Chaminade-Madonna,football,kentucky
97,Akeem Hayes,"Hollywood, Fla.",Chaminade-Madonna,football,kentucky
98,Patrick Henschen,"Newport, Ky.",Newport Central Catholic,football,kentucky
99,Jackson High,"Union, Ky.",Ryle,football,kentucky
100,Gunnar Hoak,"Dublin, Ohio",Dublin Coffman,football,kentucky
101,Kenneth Horsey,"Sanford, Fla.",Sanford Seminole,football,kentucky
102,Phil Hoskins,"Toledo, Ohio",Whitmer,football,kentucky
103,Zy'Aire Hughes,"Paducah, Ky.",McCracken County,football,kentucky
104,Drake Jackson,"Versailles, Ky.",Woodford County,football,kentucky
105,Zach Johnson,"Cincinnati, Ohio",Colerain,football,kentucky
106,"Lonnie Johnson, Jr.","Gary, Ind.",Gary West Side,football,kentucky
107,Jordan Jones,"Youngstown, Ohio",Cardinal Mooney,football,kentucky
108,Alex King,"Mason, Ohio",William Mason,football,kentucky
109,Sihiem King,"Colquitt, Ga.",Colquitt County,football,kentucky
110,Darian Kinnard,"Knoxville, Tenn.",St. Ignatius (Ohio),football,kentucky
111,Harold Lacy,"Memphis, TN",Cordova,football,kentucky
112,Kolbe Langhi,"Hopkinsville, Ky.",Christian County,football,kentucky
113,Shawn Lawson,"Jonesboro, Ga.",Jonesboro,football,kentucky
114,Nick Lewis,N/A,N/A,football,kentucky
115,Kordell Looney,"Springfield, Ohio",Springfield,football,kentucky
116,Jerquavion Mahone,"Jordan City, Ga.",Manchester,football,kentucky
117,Tyler Markray,"West Bloomfield, Mich.",Walled Lake Central,football,kentucky
118,Marquan McCall,"Detroit, Mich.",Oak Park,football,kentucky
119,Grant McKinniss,"Findlay, Ohio",Findlay,football,kentucky
120,Adrian Middleton,"Bowling Green, Ky.",South Warren,football,kentucky
121,William Nalty,"Metairie, La.",Metairie Park Country Day,football,kentucky
122,Matthew Napier,"Nicholasville, Ky.",East Jessamine,football,kentucky
123,Michael Nesbitt,"Fort Lauderdale, Fla.",Boyd Anderson,football,kentucky
124,Chris Oats,"Cincinnati, Ohio",Winton Woods,football,kentucky
125,Bryce Oliver,"Fort Lauderdale, Fla.",Dillard,football,kentucky
126,Joshua Paschal,"Olney, Md.",Our Lady of Good Counsel,football,kentucky
127,Ashtan Pierre,"Pompano Beach, Fla.",Deerfield Beach,football,kentucky
128,Chance Poore,"Anderson, S.C.",Westside,football,kentucky
129,E.J. Price,"Lawrenceville, Ga.",Archer,football,kentucky
130,Tavin Richardson,"Greer, S.C.",Byrnes,football,kentucky
131,Justin Rigg,"Springboro, Ohio",Springboro,football,kentucky
132,Davonte Robinson,"Lexington, Ky.",Henry Clay,football,kentucky
133,"Christopher Rodriguez, Jr.","McDonough, Ga.",Ola,football,kentucky
134,Asim Rose,"Cleveland, Ohio",Garfield Heights,football,kentucky
135,Matt Ruffolo,"Centerville, Ohio",Archbishop Alter,football,kentucky
136,Drew Schlegel,"Parker, Colo.",Regis Jesuit,football,kentucky
137,Jaylen Scott,"Clarksville, Tenn.",Kenwood HS,football,kentucky
138,Brett Slusher,"Fort Mitchell, Ky.",Beechwood,football,kentucky
139,Donald Smith,"Harrodsburg, Ky.",Mercer County,football,kentucky
140,Kavosiey Smoke,"Wetumpka, Ala.",Wetumpka,football,kentucky
141,"Benny Snell, Jr.","Westerville, Ohio",Westerville Central,football,kentucky
142,DeAndre Square,"Detroit, Mich.",Cass Tech,football,kentucky
143,Bunchy Stallings,"McComb, Miss.",Spain Park,football,kentucky
144,Logan Stenberg,"Madison, Ala.",James Clemens,football,kentucky
145,"Calvin Taylor, Jr.","Augusta, Ga.",Augusta Christian,football,kentucky
146,"Clevan Thomas, Jr.","Miami, Fla.",Charles W. Flanagan,football,kentucky
147,Sam Turner,"Hazard, Ky.",Perry County Central,football,kentucky
148,Keaton Upshaw,"Lima, Ohio",Lima Senior,football,kentucky
149,Ahmad Wagner,"Huber Heights, Ohio",Wayne,football,kentucky
150,Naasir Watkins,"Laurel, Md.",Our Lady of Good Counsel,football,kentucky
151,Jamar Watson,"Forestville, Md.",Bishop McNamara,football,kentucky
